 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
230 ;* e Gem A                ;06 54 38.636 +13 10 40.17    ;103.660983 +13.177825      ; 4.715
231 ;* alf Her                ;17 14 38.85818 +14 23 25.2262;258.66190909 +14.39034061  ; 3.06 
232 ;* sig Aqr                ;22 30 38.81546 -10 40 40.6238;337.66173110 -10.67795107  ; 4.81 
233 ;* del Leo                ;11 14 06.50142 +20 31 25.3853;168.52708927 +20.52371814  ; 2.53 
234 ;* tau Vir                ;14 01 38.79341 +01 32 40.3145;210.41163923 +01.54453181  ; 4.244
235 ;* gam Tri                ;02 17 18.86703 +33 50 49.8950;034.32861264 +33.84719307  ; 4.00 
236 ;* eps Mon A              ;06 23 46.08471 +04 35 34.3153;095.94201964 +04.59286537  ; 4.414
237 ;* rho Ori                ;05 13 17.48015 +02 51 40.5479;078.32283394 +02.86126329  ; 4.44 
238 ;* 64 Eri                 ;04 59 55.73677 -12 32 14.6983;074.98223656 -12.53741619  ; 4.782
239 ;* e Boo                  ;13 49 42.83457 +21 15 50.7788;207.42847736 +21.26410523  ; 4.91 
240 ;* psi02 Aqr              ;23 17 54.21372 -09 10 57.0675;349.47589051 -09.18251876  ; 4.40 
241 ;V* KQ Pup                ;07 33 47.96383 -14 31 26.0026;113.44984928 -14.52388960  ; 4.97 
242 ;* chi Lup                ;15 50 57.53829 -33 37 37.7953;237.73974286 -33.62716537  ; 3.957
243 ;* gam Equ                ;21 10 20.50005 +10 07 53.6763;317.58541686 +10.13157674  ; 4.68 
244 ;BD+18 4254A              ;19 48 58.653 +19 08 31.40    ;297.244388 +19.142056      ; 5.0  
245 ;* psi02 Lup              ;15 42 41.02206 -34 42 37.4617;235.67092523 -34.71040604  ; 4.717
246 ;HR 6766                  ;18 08 04.97982 -28 27 25.5316;272.02074923 -28.45709212  ; 4.56 
247 ;* 31 Leo                 ;10 07 54.27057 +09 59 51.0230;151.97612736 +09.99750639  ; 4.38 
248 ;* sig Lib                ;15 04 04.21608 -25 16 55.0606;226.01756698 -25.28196129  ; 3.21 
